Serial No,City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated/Total Stations
197,Samastipur,Moderate,127,PM 10,1/1
198,Sangli,Moderate,125,PM 2.5,1/1
199,Sasaram,Moderate,192,PM 2.5,1/1
200,Satna,Satisfactory,55,PM 10,1/1
201,Sawai Madhopur,Moderate,188,PM 10,1/1
202,Shillong,Moderate,140,"PM 2.5 , O 3",2/2
203,Shivamogga,Good,44,PM 10,1/1
204,Sikar,Moderate,194,PM 10,1/1
205,Silchar,Satisfactory,55,PM 10,1/1
206,Siliguri,Moderate,197,PM 2.5,1/1
207,Singrauli,Poor,206,PM 10,1/1
208,Sirohi,Satisfactory,82,PM 10,1/1
209,Sivasagar,Satisfactory,63,PM 10,1/1
210,Siwan,Poor,249,PM 2.5,1/1
211,Solapur,Moderate,101,PM 10,3/3
212,Sri Ganganagar,Moderate,193,PM 10,1/1
213,Sri Vijaya Puram,Good,30,CO,1/1
214,Suakati,Moderate,130,PM 2.5,1/1
215,Surat,Satisfactory,67,CO,1/1
216,Talcher,Moderate,139,PM 2.5,1/1
217,Tensa,Moderate,103,PM 10,1/1
218,Thane,Moderate,101,"PM 10 , O 3",2/2
219,Thanjavur,Good,31,PM 2.5,1/1
220,Thiruvananthapuram,Good,42,PM 10,2/2
221,Thoothukudi,Good,49,PM 10,1/1
222,Thrissur,Satisfactory,60,PM 10,1/1
223,Tiruchirappalli,Good,27,PM 10,1/1
224,Tirumala,Moderate,103,CO,1/1
225,Tirunelveli,Good,35,CO,1/1
226,Tirupati,Moderate,103,PM 2.5,1/1
227,Tirupur,Satisfactory,56,CO,1/1
228,Tonk,Moderate,173,PM 10,1/1
229,Tumakuru,Moderate,124,PM 10,1/1
230,Tumidih,Moderate,159,PM 10,1/1
231,Udaipur,Satisfactory,92,PM 10,1/1
232,Ujjain,Satisfactory,78,CO,1/1
233,Ulhasnagar,Moderate,179,O 3,1/1
234,Vapi,Moderate,116,PM 2.5,1/1
235,Varanasi,Moderate,111," PM 2.5, PM 10",4/4
236,Vatva,Satisfactory,93,PM 2.5,1/1
237,Vellore,Good,48,PM 10,1/1
238,Vijayawada,Satisfactory,66," PM 2.5, PM 10",4/4
239,Virar,Satisfactory,64,PM 10,1/1
240,Virudhunagar,Satisfactory,52,PM 10,1/1
241,Visakhapatnam,Satisfactory,94,PM 10,1/1
242,Vrindavan,Satisfactory,75,PM 10,1/1
243,Yadgir,Satisfactory,54,PM 10,1/1
